me,159
my,126
自己,123
wanna,47
十年,47
so,46
go,41
your,41
靠边站,40
九妹,38
Hay,36
money,35
我会,34
just,34
喜欢,33
那些,33
busy,32
梦想,31
oh,31
一个,31
Ho,31
thank,31
感谢,31
我们,29
say,29
up,29
hey,29
准备,29
想要,28
如果,28
有个,28
night,27
don,27
no,26
UP,25
慢慢,25
xue,24
他们,24
way,24
昨日,24
多久,24
let,23
do,23
see,23
招牌,23
So,22
hold,21
兄弟,21
遗忘,21
party,21
back,20
年代,20
那个,20
far,20
Here,20
down,20
几个,19
等待,19
CLAP,19
want,19
get,19
像是,18
hands,18
la,18
cry,18
know,18
..,18
在乎,17
Call,17
later,17
一次,17
老大,17
baby,17
杀手,16
真的,16
Don,16
明天,16
right,16
Em,16
mean,16
小丑,15
GIRL,15
小姐,15
那么,15
绿色,15
梦里,14
Min,14
OH,14
Love,14
本书,14
什么,14
Double,14
崂山,14
Ha,14
ei,14
我先,14
give,14
唱着歌,14
歌声,14
ll,13
girl,13
讨厌,13
学仙,13
OK,13
NOW,13
我用,13
忍受,13
fight,13
有天,12
fuck,12
Flag,12
under,12
Shot,12
谢谢,12
was,12
flow,12
不管,12
这里,12
could,12
fine,12
不归路,12
Sing,12
Show,12
peace,12
超级,12
没要,12
啰嗦,12
never,12
末班车,12
树叶,12
will,12
forever,12
going,11
怀抱,11
副歌,11
可能,11
已经,11
What,11
生命,11
不在乎,11
希望,11
Oh,11
leave,11
现在,11
太冷,10
us,10
不要,10
一种,10
城市,10
out,10
TOY,10
繼續,10
擁有,10
her,10
离开,10
楼下,10
一定,10
神仙,10
Time,10
PARTY,10
死者,10
奮鬥,10
am,10
waiting,10
原谅,10
look,10
好人,10
Like,9
ceiling,9
Verse,9
But,9
Put,9
air,9
Sucker,9
outta,9
here,9
Hip,9
Hop,9
曾经,9
生活,9
回来,9
love,9
turn,9
只是,9
不会,9
你家,9
爱情,9
不想,9
对不起,9
用身,9
體來,9
等候,9
七彩,9
妹妹,9
世界,9
Na,8
放弃,8
拥抱,8
身边,8
hiphop,8
Ring,8
yeah,8
那时,8
倔强,8
shadows,8
hope,8
Cos,8
Get,8
own,8
Your,8
那一,8
那里,8
一步,8
she,8
away,8
怎会,8
sing,8
歌唱,8
year,8
open,8
eyes,8
afraid,8
brave,8
点石成金,8
瓦砾,8
who,8
Do,8
Everything,8
crazy,8
Let,8
hear,8
无数,8
彼此,8
超人,8
knock,8
Please,8
飞越,8
云海,8
乘着,8
表白,8
多少,8
Baby,8
当妮,8
time,7
为什么,7
AM,7
很多,7
一盘,7
寻寻觅觅,7
歌谣,7
远方,7
童话故事,7
关上,7
妈妈,7
打开,7
Tell,7
ill,7
ghetto,7
只在乎,7
